epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,330.566,2.40218,0.63436,0.87025,1.39526,0.0670261,0.000333069,0.000333069
2,660.216,1.48761,0.66822,0.88589,1.25302,0.0340198,0.000660072,0.000660072
3,985.458,1.38225,0.70351,0.90495,1.126,0.00100713,0.000980741,0.000980741
4,1307,1.27088,0.74371,0.9205,0.97971,0.0009715,0.0009715,0.0009715
5,1628.33,1.14491,0.77079,0.93168,0.87798,0.000962,0.000962,0.000962
6,1949.7,1.05317,0.7955,0.9396,0.79689,0.0009525,0.0009525,0.0009525
7,2271.81,0.98866,0.80688,0.94545,0.74323,0.000943,0.000943,0.000943
8,2593.14,0.92367,0.82005,0.95035,0.70172,0.0009335,0.0009335,0.0009335
9,2914.96,0.86254,0.82683,0.95193,0.6785,0.000924,0.000924,0.000924
10,3237.03,0.82169,0.83322,0.95426,0.65619,0.0009145,0.0009145,0.0009145
11,3559,0.76296,0.83762,0.95629,0.6431,0.000905,0.000905,0.000905
12,3881.18,0.71206,0.84089,0.95733,0.64026,0.0008955,0.0008955,0.0008955
13,4202,0.68822,0.84218,0.95807,0.63682,0.000886,0.000886,0.000886
14,4521.51,0.64716,0.84475,0.95886,0.63227,0.0008765,0.0008765,0.0008765
15,4840.88,0.61842,0.84559,0.95955,0.63053,0.000867,0.000867,0.000867
16,5165.41,0.57777,0.84629,0.9601,0.63185,0.0008575,0.0008575,0.0008575
17,5487.64,0.55188,0.84748,0.9605,0.63267,0.000848,0.000848,0.000848
18,5809.85,0.52591,0.84757,0.96,0.63446,0.0008385,0.0008385,0.0008385
19,6132.43,0.49851,0.84851,0.9603,0.63595,0.000829,0.000829,0.000829
20,6454.58,0.48023,0.84896,0.9601,0.63822,0.0008195,0.0008195,0.0008195
21,6776.88,0.45371,0.85,0.9598,0.64057,0.00081,0.00081,0.00081
22,7100.02,0.42757,0.85149,0.9597,0.64416,0.0008005,0.0008005,0.0008005
23,7421.72,0.41722,0.85203,0.95926,0.64738,0.000791,0.000791,0.000791
24,7742.71,0.3999,0.85139,0.95985,0.65099,0.0007815,0.0007815,0.0007815
25,8063.66,0.37925,0.85208,0.95975,0.65436,0.000772,0.000772,0.000772
26,8385.09,0.36209,0.85243,0.95936,0.65872,0.0007625,0.0007625,0.0007625
27,8704.78,0.34539,0.85351,0.95985,0.66432,0.000753,0.000753,0.000753
28,9023.36,0.33566,0.85401,0.95985,0.66996,0.0007435,0.0007435,0.0007435
29,9341.95,0.32304,0.85391,0.95975,0.67494,0.000734,0.000734,0.000734
30,9659.97,0.30614,0.85351,0.95965,0.67951,0.0007245,0.0007245,0.0007245
31,9977.97,0.29703,0.85302,0.96015,0.6846,0.000715,0.000715,0.000715
32,10296.1,0.28756,0.85302,0.96035,0.6887,0.0007055,0.0007055,0.0007055
33,10615,0.27592,0.85287,0.96045,0.69316,0.000696,0.000696,0.000696
34,10933.1,0.26865,0.85406,0.9603,0.69733,0.0006865,0.0006865,0.0006865
35,11255.1,0.25677,0.85416,0.96,0.70236,0.000677,0.000677,0.000677
36,11576.9,0.25083,0.85356,0.95985,0.70785,0.0006675,0.0006675,0.0006675
37,11897.7,0.24467,0.85351,0.95995,0.71305,0.000658,0.000658,0.000658
38,12218.3,0.23212,0.85371,0.95995,0.71971,0.0006485,0.0006485,0.0006485
39,12539,0.22755,0.85356,0.9595,0.72615,0.000639,0.000639,0.000639
40,12859.5,0.21799,0.85381,0.95995,0.73328,0.0006295,0.0006295,0.0006295
41,13180.3,0.21157,0.85371,0.96015,0.73924,0.00062,0.00062,0.00062
42,13500.8,0.20787,0.85416,0.95941,0.74548,0.0006105,0.0006105,0.0006105
43,13821.4,0.20315,0.85366,0.95955,0.75127,0.000601,0.000601,0.000601
44,14142.4,0.19831,0.85332,0.95955,0.75496,0.0005915,0.0005915,0.0005915
